3.404, 5.007, 6.798, 9.256, 13.463, 18.48, 28.499, 48.763, 99.697, 216.936, 
2.328, 2.456, 2.745, 3.292, 4.111, 5.157, 7.767, 11.737, 29.419, 163.687, 
2.859, 3.053, 3.339, 3.619, 4.395, 5.127, 6.442, 8.302, 12.739, 53.692, 
2.458, 2.688, 2.983, 3.495, 4.036, 4.891, 6.048, 8.354, 12.877, 47.997, 
3.186, 3.333, 4.019, 4.597, 5.657, 7.098, 8.274, 12.029, 18.355, 159.828, 
3.384, 4.642, 5.929, 7.653, 10.374, 13.823, 18.237, 23.597, 35.414, 106.037, 
3.346, 3.435, 3.709, 4.14, 4.75, 5.609, 6.96, 9.764, 18.563, 151.12, 
8.097, 13.051, 18.301, 26.063, 38.275, 55.227, 90.213, 164.149, 333.335, 5318.21, 
10.472, 40.979, 150.428, 460.088, 1419.88, 3539.32, 7751.68, 15397, 23537.2, 41787.5, 

1157.13, 1366.44, 1722.12, 1899, 2060.88, 2221.44, 2455.32, 2919.57, 4186.9, 5780.33, 
61411.8, 61995.3, 60187.9, 70950.3, 71801, 75518.6, 77914.1, 81270.6, 95766.2, 138749, 
307672, 342299, 326699, 360578, 379387, 398870, 430185, 398491, 400122, 477706, 
393494, 447652, 423044, 464466, 472810, 497519, 545462, 586611, 595413, 667495, 
1.40151e+06, 1.55112e+06, 1.5019e+06, 1.87014e+06, 1.64543e+06, 1.74107e+06, 1.85083e+06, 2.05579e+06, 2.24077e+06, 2.60818e+06, 
6.24913e+06, 7.14209e+06, 7.50853e+06, 8.43277e+06, 9.85893e+06, 1.05341e+07, 1.12617e+07, 1.0961e+07, 1.19177e+07, 1.22995e+07, 
1.15739e+06, 1.28813e+06, 1.35164e+06, 1.4843e+06, 1.80592e+06, 1.85708e+06, 2.26665e+06, 3.06185e+06, 3.89131e+06, 4.41838e+06, 
1.4194e+07, 1.92495e+07, 2.35858e+07, 2.73552e+07, 2.85392e+07, 3.29931e+07, 3.65091e+07, 4.1011e+07, 4.45861e+07, 6.39551e+07, 
3.1246e+06, 6.73667e+06, 1.33916e+07, 2.1535e+07, 3.46185e+07, 4.92836e+07, 6.69646e+07, 8.31569e+07, 8.84764e+07, 9.41122e+07, 


