3.346, 4.886, 6.601, 8.977, 13.328, 18.241, 27.916, 47.307, 96.767, 212.501, 
2.314, 2.453, 2.77, 3.277, 4.052, 5.133, 7.681, 11.604, 29.195, 163.632, 
2.843, 3.035, 3.323, 3.603, 4.321, 5.05, 6.278, 8.019, 12.388, 52.664, 
2.461, 2.683, 3.018, 3.5, 4.045, 4.944, 6.126, 8.443, 12.979, 48.073, 
3.17, 3.338, 4.004, 4.588, 5.613, 7.062, 8.166, 11.846, 18.133, 159.058, 
3.401, 4.573, 5.905, 7.584, 10.283, 13.776, 18.197, 23.409, 35.167, 105.375, 
2.359, 2.454, 2.637, 2.936, 3.409, 4.04, 5.038, 7.224, 14.181, 111.648, 
8.068, 12.991, 18.235, 25.574, 37.633, 54.266, 88.287, 161.178, 328.801, 5081.08, 
10.358, 40.443, 148.441, 455.39, 1393.05, 3441.52, 7434.05, 14729.9, 22530.7, 40101.4, 



1392.73, 1607.04, 1453.33, 1402.13, 1222.73, 1502.18, 1643.66, 1485.67, 795.39, 395.052, 
114805, 109208, 113750, 91995.8, 81398.6, 80776, 67136.8, 81131.5, 57603.7, 23542.9, 
538401, 513355, 575040, 417342, 433182, 443432, 433832, 344352, 381894, 261956, 
1.02859e+06, 888113, 842915, 748722, 671832, 685872, 505997, 444803, 360727, 189826, 
3.01187e+06, 2.89732e+06, 2.67529e+06, 2.31031e+06, 2.13388e+06, 2.09717e+06, 1.93986e+06, 2.05868e+06, 1.55273e+06, 1.11442e+06, 
1.10343e+07, 1.03163e+07, 9.99319e+06, 8.59543e+06, 8.05815e+06, 7.25026e+06, 6.43489e+06, 6.2944e+06, 5.00885e+06, 3.93439e+06, 
4.86019e+06, 4.11707e+06, 4.37136e+06, 4.763e+06, 4.05994e+06, 4.13024e+06, 4.75141e+06, 4.48623e+06, 4.28079e+06, 2.77637e+06, 
5.1902e+06, 4.95292e+06, 4.93611e+06, 4.61836e+06, 4.12093e+06, 4.18312e+06, 3.6466e+06, 3.45675e+06, 2.98869e+06, 1.72572e+06, 
1.52392e+06, 1.35502e+06, 1.18519e+06, 1.31493e+06, 1.08331e+06, 1.06367e+06, 957625, 716891, 599040, 436492, 

